ID,nest,year,first_egg,start_expo,last_ok,last_control,end_expo,first_egg_day,start_expo_day,last_ok_day,last_control_day,end_expo_day,fatecode,logger_fate,temperature
1,31_2018,2018.00,28.2.2018 14:23:59,19.3.2018 11:54:00,29.3.2018 08:02:00,22.4.2018 13:32:00,30.3.2018 14:23:59,59,78,88,112,89,1.00,no,NA
2,32_2018,2018.00,1.3.2018 00:00:00,19.3.2018 12:40:00,19.3.2018 12:40:00,12.4.2018 13:11:00,31.3.2018 00:00:00,60,78,78,102,90,1.00,no,NA
3,4_2018,2018.00,1.3.2018 02:09:36,14.3.2018 15:40:00,29.3.2018 10:31:00,10.4.2018 09:55:00,31.3.2018 02:09:36,60,73,88,100,90,1.00,no,NA
4,23_2018,2018.00,1.3.2018 09:21:36,17.3.2018 14:00:00,29.3.2018 07:34:00,5.4.2018 10:50:00,31.3.2018 09:21:36,60,76,88,95,90,1.00,no,NA
5,10_2018,2018.00,1.3.2018 11:16:48,14.3.2018 12:00:00,29.3.2018 07:00:00,5.4.2018 09:20:00,31.3.2018 11:16:48,60,73,88,95,90,1.00,no,NA
6,29_2018,2018.00,1.3.2018 16:04:47,18.3.2018 13:33:00,29.3.2018 12:07:00,10.4.2018 11:37:00,31.3.2018 16:04:47,60,77,88,100,90,1.00,no,NA
7,7_2018,2018.00,11.3.2018 00:00:00,15.3.2018 14:55:00,22.3.2018 07:50:00,10.4.2018 09:28:00,31.3.2018 20:39:00,70,74,81,100,90,1.00,no,NA
8,12_2018,2018.00,4.3.2018 20:16:48,16.3.2018 10:25:00,22.3.2018 08:20:00,12.4.2018 11:50:00,1.4.2018 22:05:00,63,75,81,102,91,1.00,no,NA
9,48_2018,2018.00,3.3.2018 09:46:48,23.3.2018 14:11:00,28.3.2018 07:24:00,22.4.2018 15:25:00,2.4.2018 09:46:48,62,82,87,112,92,1.00,no,NA
10,38_2018,2018.00,9.3.2018 20:16:48,21.3.2018 10:49:00,29.3.2018 11:07:00,8.4.2018 14:25:00,3.4.2018 12:46:00,68,80,88,98,93,1.00,no,NA
11,8_2018,2018.00,6.3.2018 14:52:48,15.3.2018 16:16:00,29.3.2018 12:26:00,10.4.2018 13:35:00,4.4.2018 13:00:30,65,74,88,100,94,1.00,no,NA
12,11_2018,2018.00,10.3.2018 12:21:36,16.3.2018 08:45:00,29.3.2018 16:00:00,12.4.2018 10:10:00,5.4.2018 13:05:00,69,75,88,102,95,1.00,no,NA
13,20_2018,2018.00,8.3.2018 16:19:12,17.3.2018 07:40:00,29.3.2018 12:42:00,12.4.2018 14:18:00,5.4.2018 13:30:00,67,76,88,102,95,1.00,no,NA
14,56_2018,2018.00,21.3.2018 09:07:12,27.3.2018 16:42:00,29.3.2018 08:22:00,16.4.2018 09:06:00,7.4.2018 08:44:00,80,86,88,106,97,2.00,no,NA
15,65_2018,2018.00,29.3.2018 00:00:00,2.4.2018 12:00:00,2.4.2018 12:00:00,12.4.2018 14:08:00,7.4.2018 13:04:00,88,92,92,102,97,2.00,no,NA
16,64_2018,2018.00,8.3.2018 18:00:00,2.4.2018 07:55:00,2.4.2018 07:55:00,20.5.2018 12:05:00,7.4.2018 18:00:00,67,92,92,140,97,1.00,no,NA
17,27_2018,2018.00,18.3.2018 11:07:00,18.3.2018 11:07:00,26.3.2018 13:13:00,24.4.2018 14:20:00,10.4.2018 01:46:30,77,77,85,114,100,1.00,no,NA
18,60_2018,2018.00,25.3.2018 00:00:00,28.3.2018 13:53:00,28.3.2018 13:53:00,24.4.2018 16:06:00,11.4.2018 02:59:30,84,87,87,114,101,1.00,no,NA
19,41_2018,2018.00,16.3.2018 11:02:24,21.3.2018 16:03:00,12.4.2018 08:09:00,12.4.2018 08:09:00,12.4.2018 08:09:00,75,80,102,102,102,5.00,no,NA
20,74_2018,2018.00,,8.4.2018 17:15:00,8.4.2018 17:15:00,16.4.2018 12:50:00,12.4.2018 15:02:30,,98,98,106,102,0.00,no,NA
21,46_2018,2018.00,14.3.2018 22:48:00,23.3.2018 11:40:00,10.4.2018 09:23:00,30.4.2018 11:22:00,13.4.2018 22:48:00,73,82,100,120,103,1.00,no,NA
22,66_2018,2018.00,14.3.2018 23:45:36,5.4.2018 08:43:00,5.4.2018 08:43:00,8.5.2018 08:01:00,13.4.2018 23:45:36,73,95,95,128,103,1.00,no,NA
23,50_2018,2018.00,17.3.2018 02:02:24,25.3.2018 15:25:00,16.4.2018 09:44:00,22.4.2018 11:32:00,16.4.2018 09:44:00,76,84,106,112,106,1.00,no,NA
24,47_2018,2018.00,18.3.2018 17:31:12,23.3.2018 13:40:00,16.4.2018 12:00:00,22.4.2018 14:11:00,17.4.2018 17:31:12,77,82,106,112,107,1.00,no,NA
25,39_2018,2018.00,20.3.2018 06:43:12,21.3.2018 11:20:00,16.4.2018 12:57:00,6.5.2018 11:05:00,19.4.2018 06:43:12,79,80,106,126,109,1.00,no,NA
26,69_2018,2018.00,23.3.2018 00:00:00,8.4.2018 12:10:00,8.4.2018 12:10:00,6.5.2018 10:00:00,22.4.2018 00:00:00,82,98,98,126,112,1.00,no,NA
27,75_2018,2018.00,28.3.2018 07:01:12,10.4.2018 12:42:00,10.4.2018 12:42:00,6.5.2018 11:42:00,23.4.2018 12:12:00,87,100,100,126,113,1.00,no,NA
28,72_2018,2018.00,,8.4.2018 15:51:00,8.4.2018 15:51:00,8.5.2018 14:25:00,23.4.2018 15:08:00,,98,98,128,113,0.00,no,NA
29,71_2018,2018.00,25.3.2018 00:00:00,8.4.2018 15:29:00,8.4.2018 15:29:00,10.5.2018 12:45:00,24.4.2018 00:00:00,84,98,98,130,114,1.00,no,NA
30,78_2018,2018.00,30.3.2018 02:09:36,12.4.2018 10:55:00,18.4.2018 13:15:00,29.4.2018 11:40:00,24.4.2018 00:27:30,89,102,108,119,114,1.00,no,NA
31,77_2018,2018.00,25.3.2018 00:39:36,12.4.2018 09:00:00,12.4.2018 09:00:00,8.5.2018 07:51:00,24.4.2018 00:39:36,84,102,102,128,114,1.00,no,NA
32,94_2018,2018.00,24.4.2018 00:00:00,24.4.2018 12:54:00,24.4.2018 12:54:00,24.4.2018 12:54:00,24.4.2018 12:54:00,114,114,114,114,114,1.00,no,NA
33,99_2018,2018.00,20.4.2018 00:00:00,24.4.2018 17:59:00,24.4.2018 17:59:00,24.4.2018 17:59:00,24.4.2018 17:59:00,110,114,114,114,114,5.00,no,NA
34,76_2018,2018.00,27.3.2018 19:04:47,12.4.2018 08:36:00,12.4.2018 08:36:00,8.5.2018 07:37:00,25.4.2018 08:06:30,86,102,102,128,115,1.00,no,NA
35,59_2018,2018.00,27.3.2018 05:45:36,28.3.2018 10:36:00,26.4.2018 11:28:00,29.4.2018 11:03:00,26.4.2018 11:28:00,86,87,116,119,116,1.00,no,NA
36,58_2018,2018.00,25.3.2018 06:48:00,28.3.2018 08:56:00,26.4.2018 11:54:00,29.4.2018 11:18:00,26.4.2018 11:54:00,84,87,116,119,116,1.00,no,NA
37,73_2018,2018.00,6.4.2018 00:00:00,8.4.2018 16:28:00,8.4.2018 16:28:00,14.5.2018 12:24:00,26.4.2018 14:26:00,96,98,98,134,116,1.00,no,NA
38,68_2018,2018.00,28.3.2018 00:00:00,8.4.2018 11:30:00,18.4.2018 15:03:00,6.5.2018 08:07:00,27.4.2018 00:00:00,87,98,108,126,117,1.00,no,NA
39,67_2018,2018.00,5.4.2018 00:00:00,5.4.2018 12:33:00,18.4.2018 10:30:00,6.5.2018 09:49:00,27.4.2018 10:09:30,95,95,108,126,117,1.00,no,NA
40,82_2018,2018.00,12.4.2018 00:00:00,16.4.2018 14:53:00,18.4.2018 11:30:00,8.5.2018 09:38:00,28.4.2018 10:34:00,102,106,108,128,118,1.00,no,NA
41,79_2018,2018.00,7.4.2018 04:33:36,12.4.2018 12:30:00,18.4.2018 12:15:00,8.5.2018 08:56:00,28.4.2018 10:35:30,97,102,108,128,118,1.00,no,NA
42,103_2018,2018.00,6.4.2018 21:07:12,26.4.2018 11:00:00,26.4.2018 11:00:00,30.4.2018 10:30:00,28.4.2018 10:45:00,96,116,116,120,118,0.00,no,NA
43,104_2018,2018.00,25.4.2018 00:00:00,29.4.2018 13:17:00,29.4.2018 13:17:00,29.4.2018 13:17:00,29.4.2018 13:17:00,115,119,119,119,119,5.00,no,NA
44,88_2018,2018.00,17.4.2018 17:31:12,22.4.2018 17:05:00,22.4.2018 17:05:00,6.5.2018 11:15:00,29.4.2018 14:10:00,107,112,112,126,119,0.00,no,NA
45,90_2018,2018.00,31.3.2018 09:07:12,24.4.2018 10:20:00,24.4.2018 10:20:00,8.5.2018 07:32:00,30.4.2018 09:07:12,90,114,114,128,120,1.00,no,NA
46,42_2018,2018.00,9.3.2018 16:44:24,22.3.2018 12:02:00,30.4.2018 12:19:00,6.5.2018 11:27:00,30.4.2018 12:19:00,68,81,120,126,120,1.00,no,NA
47,101_2018,2018.00,19.4.2018 11:02:24,24.4.2018 18:28:00,24.4.2018 18:28:00,6.5.2018 13:05:00,30.4.2018 15:46:30,109,114,114,126,120,0.00,no,NA
48,102_2018,2018.00,18.4.2018 22:04:47,24.4.2018 18:46:00,24.4.2018 18:46:00,6.5.2018 13:15:00,30.4.2018 16:00:30,108,114,114,126,120,0.00,no,NA
49,92_2018,2018.00,3.4.2018 22:26:24,24.4.2018 11:54:00,24.4.2018 11:54:00,8.5.2018 08:20:00,1.5.2018 10:07:00,93,114,114,128,121,2.00,no,NA
