"nest";"year";"first_egg";"start_expo";"last_ok";"last_control";"end_expo";"fate";"logger_fate";"temperature"
"1_2018";"2018";2018-03-14 00:00:00;2018-03-14 14:45:00;2018-03-14 14:45:00;2018-03-14 14:45:00;2018-03-14 14:45:00;1;"no";NA
"18_2018";"2018";2018-02-25 05:45:36;2018-03-16 17:15:00;2018-03-16 17:15:00;2018-03-17 02:47:59;2018-03-17 02:47:59;0;"yes";14.265
"15_2018";"2018";2018-02-15 16:48:00;2018-03-15 12:00:00;2018-03-15 12:00:00;2018-04-22 12:42:00;2018-03-17 16:48:00;1;"no";NA
"19_2018";"2018";2018-03-17 00:00:00;2018-03-17 07:30:00;2018-03-17 07:30:00;2018-03-18 15:09:00;2018-03-17 23:19:30;1;"no";NA
"14_2018";"2018";2018-03-10 22:04:47;2018-03-16 13:07:00;2018-03-16 13:07:00;2018-03-19 13:26:00;2018-03-18 01:16:30;2;"no";NA
"13_2018";"2018";2018-03-02 13:12:00;2018-03-16 11:28:00;2018-03-16 11:28:00;2018-03-19 15:39:00;2018-03-18 01:33:30;2;"no";NA
"6_2018";"2018";2018-03-04 17:20:24;2018-03-15 14:08:00;2018-03-18 17:04:00;2018-03-18 21:23:36;2018-03-18 21:23:36;0;"yes";17.136
"35_2018";"2018";2018-02-17 19:26:24;2018-03-20 12:22:00;2018-03-20 12:22:00;2018-03-24 09:44:00;2018-03-20 12:22:00;1;"no";NA
"36_2018";"2018";2018-02-17 19:26:24;2018-03-20 13:09:00;2018-03-20 13:09:00;2018-03-24 09:10:00;2018-03-20 13:09:00;1;"no";NA
"3_2018";"2018";2018-02-19 23:27:36;2018-03-14 15:20:00;2018-03-14 15:20:00;2018-03-26 11:50:00;2018-03-20 13:35:00;1;"no";NA
"22_2018";"2018";2018-02-22 00:14:24;2018-03-17 11:04:00;2018-03-17 11:04:00;2018-03-25 14:00:00;2018-03-21 12:32:00;1;"no";NA
"37_2018";"2018";2018-03-02 14:23:59;2018-03-21 08:12:00;2018-03-21 11:32:00;2018-03-23 08:40:00;2018-03-22 10:06:00;0;"no";NA
"40_2018";"2018";2018-02-18 19:26:24;2018-03-21 12:23:00;2018-03-23 15:16:00;2018-04-10 13:10:00;2018-03-23 15:16:00;1;"no";NA
"43_2018";"2018";2018-03-14 22:48:00;2018-03-22 14:38:00;2018-03-23 07:20:00;2018-03-24 07:43:00;2018-03-23 19:31:30;0;"no";NA
"9_2018";"2018";2018-03-02 07:01:12;2018-03-15 16:50:00;2018-03-20 13:50:00;2018-03-27 10:08:00;2018-03-23 23:59:00;1;"no";NA
"17_2018";"2018";2018-02-24 04:55:12;2018-03-16 16:25:00;2018-03-22 13:39:00;2018-03-25 11:45:00;2018-03-24 00:42:00;1;"no";NA
"30_2018";"2018";2018-02-27 09:46:48;2018-03-19 08:31:00;2018-03-21 14:48:00;2018-03-27 17:22:00;2018-03-24 16:05:00;1;"no";NA
"5_2018";"2018";2018-03-09 10:44:24;2018-03-15 13:15:00;2018-03-22 06:59:00;2018-03-28 06:53:00;2018-03-25 06:56:00;1;"no";NA
"44_2018";"2018";2018-03-01 12:07:12;2018-03-23 10:10:00;2018-03-24 07:28:00;2018-03-27 14:34:00;2018-03-25 23:01:00;1;"no";NA
"28_2018";"2018";2018-02-24 05:56:24;2018-03-18 12:33:00;2018-03-24 10:33:00;2018-03-28 15:10:00;2018-03-26 05:56:24;1;"no";NA
"51_2018";"2018";2018-02-24 00:00:00;2018-03-26 06:55:00;2018-03-26 06:55:00;2018-03-29 15:17:00;2018-03-26 06:55:00;1;"no";NA
"49_2018";"2018";2018-03-22 01:55:12;2018-03-25 12:58:00;2018-03-25 12:58:00;2018-03-27 09:46:00;2018-03-26 11:22:00;0;"no";NA
"21_2018";"2018";2018-02-24 22:26:24;2018-03-17 09:36:00;2018-03-20 09:28:00;2018-04-24 14:42:00;2018-03-26 22:26:24;1;"no";NA
"45_2018";"2018";2018-03-01 23:45:36;2018-03-23 10:29:00;2018-03-25 14:05:00;2018-03-28 11:55:00;2018-03-27 01:00:00;1;"no";NA
"2_2018";"2018";2018-03-02 08:56:24;2018-03-14 15:00:00;2018-03-27 13:38:00;2018-03-27 13:38:00;2018-03-27 13:38:00;5;"no";NA
"24_2018";"2018";2018-03-11 12:21:36;2018-03-17 14:39:00;2018-03-19 08:02:00;2018-04-05 10:15:00;2018-03-27 21:08:30;1;"no";NA
"34_2018";"2018";2018-02-26 23:45:36;2018-03-20 10:44:00;2018-03-26 14:34:00;2018-03-29 10:51:00;2018-03-28 00:42:30;1;"no";NA
"57_2018";"2018";2018-03-15 02:09:36;2018-03-27 17:00:00;2018-03-28 09:42:00;2018-03-28 09:42:00;2018-03-28 09:42:00;5;"no";NA
"52_2018";"2018";2018-03-21 22:04:47;2018-03-26 16:06:00;2018-03-27 08:11:00;2018-03-29 13:29:00;2018-03-28 10:50:00;0;"no";NA
"61_2018";"2018";NA;2018-03-28 12:00:00;2018-03-28 12:00:00;2018-03-28 12:00:00;2018-03-28 12:00:00;5;"no";NA
"54_2018";"2018";2018-03-27 00:00:00;2018-03-27 11:11:00;2018-03-27 11:11:00;2018-03-29 12:53:00;2018-03-28 12:02:00;0;"no";NA
"55_2018";"2018";2018-03-18 11:27:36;2018-03-27 11:19:00;2018-03-27 11:19:00;2018-03-29 12:48:00;2018-03-28 12:03:30;0;"no";NA
"16_2018";"2018";2018-02-26 18:28:48;2018-03-16 14:49:00;2018-03-29 07:49:00;2018-04-05 11:50:00;2018-03-29 07:49:00;2;"no";NA
"62_2018";"2018";2018-03-29 00:00:00;2018-03-29 12:20:00;2018-03-29 12:20:00;2018-03-29 12:20:00;2018-03-29 12:20:00;5;"no";NA
"26_2018";"2018";2018-02-27 10:04:47;2018-03-18 08:40:00;2018-03-29 14:39:00;2018-04-10 08:55:00;2018-03-29 14:39:00;1;"no";NA
"63_2018";"2018";2018-03-27 03:50:24;2018-03-29 15:35:00;2018-03-29 15:35:00;2018-03-29 15:35:00;2018-03-29 15:35:00;5;"no";NA
"33_2018";"2018";2018-02-28 10:04:47;2018-03-19 12:46:00;2018-03-29 08:12:00;2018-04-12 13:17:00;2018-03-30 10:04:47;1;"no";NA
"31_2018";"2018";2018-02-28 14:23:59;2018-03-19 11:54:00;2018-03-29 08:02:00;2018-04-22 13:32:00;2018-03-30 14:23:59;1;"no";NA
"32_2018";"2018";2018-03-01 00:00:00;2018-03-19 12:40:00;2018-03-19 12:40:00;2018-04-12 13:11:00;2018-03-31 00:00:00;1;"no";NA
"4_2018";"2018";2018-03-01 02:09:36;2018-03-14 15:40:00;2018-03-29 10:31:00;2018-04-10 09:55:00;2018-03-31 02:09:36;1;"no";NA
"23_2018";"2018";2018-03-01 09:21:36;2018-03-17 14:00:00;2018-03-29 07:34:00;2018-04-05 10:50:00;2018-03-31 09:21:36;1;"no";NA
"10_2018";"2018";2018-03-01 11:16:48;2018-03-14 12:00:00;2018-03-29 07:00:00;2018-04-05 09:20:00;2018-03-31 11:16:48;1;"no";NA
"29_2018";"2018";2018-03-01 16:04:47;2018-03-18 13:33:00;2018-03-29 12:07:00;2018-04-10 11:37:00;2018-03-31 16:04:47;1;"no";NA
"7_2018";"2018";2018-03-11 00:00:00;2018-03-15 14:55:00;2018-03-22 07:50:00;2018-04-10 09:28:00;2018-03-31 20:39:00;1;"no";NA
"12_2018";"2018";2018-03-04 20:16:48;2018-03-16 10:25:00;2018-03-22 08:20:00;2018-04-12 11:50:00;2018-04-01 22:05:00;1;"no";NA
"48_2018";"2018";2018-03-03 09:46:48;2018-03-23 14:11:00;2018-03-28 07:24:00;2018-04-22 15:25:00;2018-04-02 09:46:48;1;"no";NA
"38_2018";"2018";2018-03-09 20:16:48;2018-03-21 10:49:00;2018-03-29 11:07:00;2018-04-08 14:25:00;2018-04-03 12:46:00;1;"no";NA
"8_2018";"2018";2018-03-06 14:52:48;2018-03-15 16:16:00;2018-03-29 12:26:00;2018-04-10 13:35:00;2018-04-04 13:00:30;1;"no";NA
"11_2018";"2018";2018-03-10 12:21:36;2018-03-16 08:45:00;2018-03-29 16:00:00;2018-04-12 10:10:00;2018-04-05 13:05:00;1;"no";NA
"20_2018";"2018";2018-03-08 16:19:12;2018-03-17 07:40:00;2018-03-29 12:42:00;2018-04-12 14:18:00;2018-04-05 13:30:00;1;"no";NA
"56_2018";"2018";2018-03-21 09:07:12;2018-03-27 16:42:00;2018-03-29 08:22:00;2018-04-16 09:06:00;2018-04-07 08:44:00;2;"no";NA
"65_2018";"2018";2018-03-29 00:00:00;2018-04-02 12:00:00;2018-04-02 12:00:00;2018-04-12 14:08:00;2018-04-07 13:04:00;2;"no";NA
"64_2018";"2018";2018-03-08 18:00:00;2018-04-02 07:55:00;2018-04-02 07:55:00;2018-05-20 12:05:00;2018-04-07 18:00:00;1;"no";NA
"27_2018";"2018";2018-03-18 11:07:00;2018-03-18 11:07:00;2018-03-26 13:13:00;2018-04-24 14:20:00;2018-04-10 01:46:30;1;"no";NA
"60_2018";"2018";2018-03-25 00:00:00;2018-03-28 13:53:00;2018-03-28 13:53:00;2018-04-24 16:06:00;2018-04-11 02:59:30;1;"no";NA
"41_2018";"2018";2018-03-16 11:02:24;2018-03-21 16:03:00;2018-04-12 08:09:00;2018-04-12 08:09:00;2018-04-12 08:09:00;5;"no";NA
"74_2018";"2018";NA;2018-04-08 17:15:00;2018-04-08 17:15:00;2018-04-16 12:50:00;2018-04-12 15:02:30;0;"no";NA
"46_2018";"2018";2018-03-14 22:48:00;2018-03-23 11:40:00;2018-04-10 09:23:00;2018-04-30 11:22:00;2018-04-13 22:48:00;1;"no";NA
"66_2018";"2018";2018-03-14 23:45:36;2018-04-05 08:43:00;2018-04-05 08:43:00;2018-05-08 08:01:00;2018-04-13 23:45:36;1;"no";NA
"50_2018";"2018";2018-03-17 02:02:24;2018-03-25 15:25:00;2018-04-16 09:44:00;2018-04-22 11:32:00;2018-04-16 09:44:00;1;"no";NA
"47_2018";"2018";2018-03-18 17:31:12;2018-03-23 13:40:00;2018-04-16 12:00:00;2018-04-22 14:11:00;2018-04-17 17:31:12;1;"no";NA
"39_2018";"2018";2018-03-20 06:43:12;2018-03-21 11:20:00;2018-04-16 12:57:00;2018-05-06 11:05:00;2018-04-19 06:43:12;1;"no";NA
"69_2018";"2018";2018-03-23 00:00:00;2018-04-08 12:10:00;2018-04-08 12:10:00;2018-05-06 10:00:00;2018-04-22 00:00:00;1;"no";NA
"75_2018";"2018";2018-03-28 07:01:12;2018-04-10 12:42:00;2018-04-10 12:42:00;2018-05-06 11:42:00;2018-04-23 12:12:00;1;"no";NA
"72_2018";"2018";NA;2018-04-08 15:51:00;2018-04-08 15:51:00;2018-05-08 14:25:00;2018-04-23 15:08:00;0;"no";NA
"71_2018";"2018";2018-03-25 00:00:00;2018-04-08 15:29:00;2018-04-08 15:29:00;2018-05-10 12:45:00;2018-04-24 00:00:00;1;"no";NA
"78_2018";"2018";2018-03-30 02:09:36;2018-04-12 10:55:00;2018-04-18 13:15:00;2018-04-29 11:40:00;2018-04-24 00:27:30;1;"no";NA
"77_2018";"2018";2018-03-25 00:39:36;2018-04-12 09:00:00;2018-04-12 09:00:00;2018-05-08 07:51:00;2018-04-24 00:39:36;1;"no";NA
"94_2018";"2018";2018-04-24 00:00:00;2018-04-24 12:54:00;2018-04-24 12:54:00;2018-04-24 12:54:00;2018-04-24 12:54:00;1;"no";NA
"99_2018";"2018";2018-04-20 00:00:00;2018-04-24 17:59:00;2018-04-24 17:59:00;2018-04-24 17:59:00;2018-04-24 17:59:00;5;"no";NA
"76_2018";"2018";2018-03-27 19:04:47;2018-04-12 08:36:00;2018-04-12 08:36:00;2018-05-08 07:37:00;2018-04-25 08:06:30;1;"no";NA
"59_2018";"2018";2018-03-27 05:45:36;2018-03-28 10:36:00;2018-04-26 11:28:00;2018-04-29 11:03:00;2018-04-26 11:28:00;1;"no";NA
"58_2018";"2018";2018-03-25 06:48:00;2018-03-28 08:56:00;2018-04-26 11:54:00;2018-04-29 11:18:00;2018-04-26 11:54:00;1;"no";NA
"73_2018";"2018";2018-04-06 00:00:00;2018-04-08 16:28:00;2018-04-08 16:28:00;2018-05-14 12:24:00;2018-04-26 14:26:00;1;"no";NA
"68_2018";"2018";2018-03-28 00:00:00;2018-04-08 11:30:00;2018-04-18 15:03:00;2018-05-06 08:07:00;2018-04-27 00:00:00;1;"no";NA
"67_2018";"2018";2018-04-05 00:00:00;2018-04-05 12:33:00;2018-04-18 10:30:00;2018-05-06 09:49:00;2018-04-27 10:09:30;1;"no";NA
"82_2018";"2018";2018-04-12 00:00:00;2018-04-16 14:53:00;2018-04-18 11:30:00;2018-05-08 09:38:00;2018-04-28 10:34:00;1;"no";NA
"79_2018";"2018";2018-04-07 04:33:36;2018-04-12 12:30:00;2018-04-18 12:15:00;2018-05-08 08:56:00;2018-04-28 10:35:30;1;"no";NA
"103_2018";"2018";2018-04-06 21:07:12;2018-04-26 11:00:00;2018-04-26 11:00:00;2018-04-30 10:30:00;2018-04-28 10:45:00;0;"no";NA
"104_2018";"2018";2018-04-25 00:00:00;2018-04-29 13:17:00;2018-04-29 13:17:00;2018-04-29 13:17:00;2018-04-29 13:17:00;5;"no";NA
"88_2018";"2018";2018-04-17 17:31:12;2018-04-22 17:05:00;2018-04-22 17:05:00;2018-05-06 11:15:00;2018-04-29 14:10:00;0;"no";NA
"90_2018";"2018";2018-03-31 09:07:12;2018-04-24 10:20:00;2018-04-24 10:20:00;2018-05-08 07:32:00;2018-04-30 09:07:12;1;"no";NA
"42_2018";"2018";2018-03-09 16:44:24;2018-03-22 12:02:00;2018-04-30 12:19:00;2018-05-06 11:27:00;2018-04-30 12:19:00;1;"no";NA
"101_2018";"2018";2018-04-19 11:02:24;2018-04-24 18:28:00;2018-04-24 18:28:00;2018-05-06 13:05:00;2018-04-30 15:46:30;0;"no";NA
"102_2018";"2018";2018-04-18 22:04:47;2018-04-24 18:46:00;2018-04-24 18:46:00;2018-05-06 13:15:00;2018-04-30 16:00:30;0;"no";NA
"92_2018";"2018";2018-04-03 22:26:24;2018-04-24 11:54:00;2018-04-24 11:54:00;2018-05-08 08:20:00;2018-05-01 10:07:00;2;"no";NA
"95_2018";"2018";2018-04-02 00:00:00;2018-04-24 14:52:00;2018-04-24 14:52:00;2018-05-08 11:55:00;2018-05-01 13:23:30;1;"no";NA
"87_2018";"2018";2018-04-08 06:43:12;2018-04-22 16:48:00;2018-04-22 16:48:00;2018-05-10 11:45:00;2018-05-01 14:16:30;1;"no";NA
"81_2018";"2018";2018-04-02 00:14:23;2018-04-16 11:17:00;2018-04-29 12:43:00;2018-05-06 09:25:00;2018-05-02 00:14:23;1;"no";NA
"84_2018";"2018";2018-04-06 22:19:12;2018-04-22 13:05:00;2018-04-29 14:13:00;2018-05-06 08:50:00;2018-05-02 23:31:30;1;"no";NA
"108_2018";"2018";2018-04-24 12:21:36;2018-04-30 13:02:00;2018-04-30 13:02:00;2018-05-10 12:40:00;2018-05-05 12:51:00;0;"no";NA
"70_2018";"2018";2018-04-07 00:00:00;2018-04-08 14:00:00;2018-04-30 11:15:00;2018-05-14 09:45:00;2018-05-07 00:00:00;1;"no";NA
"100_2018";"2018";2018-04-11 02:09:36;2018-04-24 18:12:00;2018-04-24 18:12:00;2018-05-20 12:18:00;2018-05-07 15:15:00;1;"no";NA
"96_2018";"2018";2018-04-17 10:26:23;2018-04-24 15:17:00;2018-04-24 15:17:00;2018-05-22 08:53:00;2018-05-08 12:05:00;1;"no";NA
"97_2018";"2018";2018-04-11 02:09:36;2018-04-24 15:53:00;2018-04-24 15:53:00;2018-05-22 09:13:00;2018-05-08 12:33:00;1;"no";NA
"86_2018";"2018";2018-04-09 02:09:36;2018-04-22 15:50:00;2018-05-08 10:20:00;2018-05-14 09:32:00;2018-05-09 02:09:36;1;"no";NA
"106_2018";"2018";2018-04-10 09:46:48;2018-04-30 11:30:00;2018-04-30 11:30:00;2018-05-24 12:44:00;2018-05-10 09:46:48;1;"no";NA
"80_2018";"2018";2018-04-11 00:00:00;2018-04-12 12:55:00;2018-05-08 09:20:00;2018-05-14 09:10:00;2018-05-11 00:00:00;1;"no";NA
"116_2018";"2018";2018-05-04 00:00:00;2018-05-08 13:44:00;2018-05-08 13:44:00;2018-05-14 11:10:00;2018-05-11 12:27:00;2;"no";NA
"110_2018";"2018";2018-04-12 03:07:12;2018-05-08 09:45:00;2018-05-08 09:45:00;2018-05-16 10:00:00;2018-05-12 03:07:12;1;"no";NA
"123_2018";"2018";2018-04-14 03:07:12;2018-05-10 10:21:00;2018-05-10 10:21:00;2018-06-04 13:38:00;2018-05-14 03:07:12;1;"no";NA
"126_2018";"2018";2018-04-14 03:07:12;2018-05-10 13:00:00;2018-05-10 13:00:00;2018-05-20 12:15:00;2018-05-14 03:07:12;1;"no";NA
"91_2018";"2018";2018-04-11 11:52:48;2018-04-24 10:37:00;2018-05-14 15:42:00;2018-05-24 11:22:00;2018-05-14 15:42:00;1;"no";NA
"93_2018";"2018";2018-04-19 11:02:24;2018-04-24 12:28:00;2018-05-08 08:25:00;2018-05-24 11:10:00;2018-05-16 09:47:30;1;"no";NA
"111_2018";"2018";2018-04-19 05:13:12;2018-05-08 11:15:00;2018-05-08 11:15:00;2018-05-24 13:00:00;2018-05-16 12:07:30;1;"no";NA
"89_2018";"2018";2018-04-17 04:33:36;2018-04-22 17:30:00;2018-05-16 11:28:00;2018-05-20 11:50:00;2018-05-17 04:33:36;1;"no";NA
"85_2018";"2018";2018-04-17 15:21:36;2018-04-22 13:20:00;2018-05-14 08:53:00;2018-05-20 10:41:00;2018-05-17 09:47:00;1;"no";NA
"107_2018";"2018";2018-04-30 12:49:00;2018-04-30 12:49:00;2018-05-16 11:43:00;2018-05-22 10:53:00;2018-05-19 11:18:00;0;"no";NA
"124_2018";"2018";2018-04-30 01:26:24;2018-05-10 11:10:00;2018-05-10 11:10:00;2018-05-28 13:40:00;2018-05-19 12:25:00;1;"no";NA
"98_2018";"2018";2018-04-19 17:31:12;2018-04-24 17:35:00;2018-05-14 10:47:00;2018-06-04 10:00:00;2018-05-19 17:31:12;1;"no";NA
"83_2018";"2018";2018-03-29 06:57:36;2018-04-22 12:20:00;2018-05-20 09:34:00;2018-05-20 09:34:00;2018-05-20 09:34:00;5;"no";NA
"138_2018";"2018";2018-05-08 23:13:12;2018-05-21 11:28:00;2018-05-21 11:28:00;2018-05-21 11:28:00;2018-05-21 11:28:00;5;"no";NA
"117_2018";"2018";2018-05-03 15:21:36;2018-05-08 13:57:00;2018-05-08 13:57:00;2018-06-04 10:15:00;2018-05-22 00:06:00;1;"no";NA
"120_2018";"2018";2018-04-25 07:01:12;2018-05-08 15:09:00;2018-05-08 15:09:00;2018-06-04 11:44:00;2018-05-22 01:26:30;1;"no";NA
"125_2018";"2018";2018-04-18 02:42:00;2018-05-10 11:34:00;2018-05-22 10:28:00;2018-05-31 13:50:00;2018-05-22 10:28:00;1;"no";NA
"122_2018";"2018";2018-04-29 17:20:24;2018-05-10 09:56:00;2018-05-10 09:56:00;2018-06-04 13:27:00;2018-05-22 23:41:30;1;"no";NA
"105_2018";"2018";2018-04-25 00:00:00;2018-04-29 14:37:00;2018-05-24 10:38:00;2018-05-28 08:55:00;2018-05-25 00:00:00;1;"no";NA
"109_2018";"2018";2018-04-25 04:33:36;2018-04-30 15:00:00;2018-05-24 11:01:00;2018-05-31 12:10:00;2018-05-25 04:33:36;1;"no";NA
"115_2018";"2018";2018-05-01 20:09:36;2018-05-08 13:29:00;2018-05-22 10:56:00;2018-05-28 14:30:00;2018-05-25 12:43:00;1;"no";NA
"139_2018";"2018";2018-05-13 08:31:12;2018-05-21 12:00:00;2018-05-21 12:00:00;2018-06-04 13:23:00;2018-05-28 12:41:30;2;"no";NA
"114_2018";"2018";2018-05-07 08:21:36;2018-05-08 13:07:00;2018-05-21 12:15:00;2018-06-04 13:20:00;2018-05-28 12:47:30;1;"no";NA
"112_2018";"2018";2018-05-04 00:00:00;2018-05-08 12:27:00;2018-05-22 09:33:00;2018-06-04 12:53:00;2018-05-28 23:13:00;1;"no";NA
"113_2018";"2018";2018-05-04 00:00:00;2018-05-08 12:45:00;2018-05-22 09:45:00;2018-06-04 13:05:00;2018-05-28 23:25:00;1;"no";NA
"53_2018";"2018";2018-03-22 11:02:24;2018-03-27 10:20:00;2018-05-31 14:29:00;2018-06-04 10:45:00;2018-05-31 14:29:00;2;"no";NA
"118_2018";"2018";2018-05-03 17:31:12;2018-05-08 14:09:00;2018-05-28 14:48:00;2018-06-04 10:33:00;2018-06-01 00:40:30;1;"no";NA
"133_2018";"2018";2018-05-12 00:00:00;2018-05-16 12:33:00;2018-05-16 12:33:00;2018-06-18 07:07:00;2018-06-01 21:50:00;1;"no";NA
"136_2018";"2018";NA;2018-05-24 13:26:00;2018-05-24 13:26:00;2018-06-11 16:33:00;2018-06-02 14:59:30;5;"no";NA
"146_2018";"2018";2018-05-03 19:26:24;2018-06-03 09:19:00;2018-06-03 09:19:00;2018-06-03 09:19:00;2018-06-03 09:19:00;1;"no";NA
"129_2018";"2018";2018-05-03 08:56:24;2018-05-15 10:01:00;2018-06-03 10:05:00;2018-06-12 10:43:00;2018-06-03 10:05:00;1;"no";NA
"135_2018";"2018";2018-05-07 08:38:24;2018-05-20 10:18:00;2018-06-03 10:36:00;2018-06-03 10:36:00;2018-06-03 10:36:00;5;"no";NA
"155_2018";"2018";2018-05-10 08:16:48;2018-06-04 09:16:00;2018-06-04 09:16:00;2018-06-04 09:16:00;2018-06-04 09:16:00;5;"no";NA
"159_2018";"2018";2018-05-31 00:00:00;2018-06-04 12:09:00;2018-06-04 12:09:00;2018-06-04 12:09:00;2018-06-04 12:09:00;5;"no";NA
"127_2018";"2018";2018-05-05 13:04:47;2018-05-14 11:40:00;2018-05-28 14:10:00;2018-06-12 08:43:00;2018-06-04 13:04:47;1;"no";NA
"121_2018";"2018";2018-05-06 00:00:00;2018-05-10 09:25:00;2018-06-04 13:15:00;2018-06-04 13:15:00;2018-06-04 13:15:00;5;"no";NA
"161_2018";"2018";NA;2018-06-04 13:43:00;2018-06-04 13:43:00;2018-06-04 13:43:00;2018-06-04 13:43:00;5;"no";NA
"162_2018";"2018";2018-05-11 13:26:24;2018-06-04 14:02:00;2018-06-04 14:02:00;2018-06-04 14:02:00;2018-06-04 14:02:00;5;"no";NA
"142_2018";"2018";2018-05-07 11:06:00;2018-05-28 11:57:00;2018-05-28 11:57:00;2018-06-14 07:46:00;2018-06-05 21:51:30;1;"no";NA
"163_2018";"2018";2018-06-06 00:00:00;2018-06-06 17:15:00;2018-06-06 17:15:00;2018-06-06 17:15:00;2018-06-06 17:15:00;1;"no";NA
