nest,year,first_egg,start_expo,last_ok,last_visit,end_expo,fate,end_type,lat,lon,start_type,M_ID,F_ID,predation_logger,remarks,chicks_found
1_2018,2018,2018-02-12T14:45:00Z,2018-03-14T14:45:00Z,2018-03-14T14:45:00Z,2018-03-14T14:45:00Z,2018-03-14T14:45:00Z,1,found_at_hatching,24.8339003321506,55.3703266076681,hatching,,,,,final_nest_check
1_2019,2019,2019-01-23T10:51:00Z,2019-01-31T12:03:00Z,2019-02-06T13:30:00Z,2019-02-25T11:23:00Z,2019-02-22T10:51:00Z,1,hde,24.8339349869639,55.3703449945897,float,,,,,final_nest_check
1_2020,2020,2020-01-17T08:58:12Z,2020-02-03T11:15:00Z,2020-02-03T11:15:00Z,2020-02-27T07:50:00Z,2020-02-16T08:58:12Z,1,hde,24.8363420180976,55.3725640196353,float,,,,,final_nest_check
10_2018,2018,2018-03-01T18:42:48Z,2018-03-14T12:00:00Z,2018-03-29T07:00:00Z,2018-04-05T09:20:00Z,2018-03-31T18:42:48Z,1,hde,24.841541793016,55.3280197976205,float,24_2018,4_2018,,,final_nest_check
10_2019,2019,2019-02-15T03:12:24Z,2019-02-19T16:10:00Z,2019-03-08T08:51:44Z,2019-03-02T10:47:00Z,2019-03-08T08:51:44Z,0,logger,24.8406032937705,55.3422656995918,float,,1_2019,T,deserted after partial predation,no
10_2020,2020,2020-03-01T10:35:00Z,2020-03-01T10:35:00Z,2020-04-04T08:00:00Z,2020-04-20T13:15:00Z,2020-04-03T08:00:00Z,1,logger_min1day,24.8401759844273,55.352709973231,laying,40_2018,27_2018,,,later
100_2018,2018,2018-04-11T20:21:36Z,2018-04-24T18:12:00Z,2018-04-24T18:12:00Z,2018-05-20T12:18:00Z,2018-05-11T20:21:36Z,1,hde,24.8342185843835,55.3962527673702,float,,,,,no
100_2019,2019,2019-04-17T02:15:24Z,2019-04-21T15:13:00Z,2019-05-22T08:30:00Z,2019-05-23T09:25:00Z,2019-05-21T20:30:00Z,1,logger_minhalfday,24.8365855524212,55.3717820131569,float,11_2017,15_2019,,,final_nest_check
100_2020,2020,2020-04-29T14:33:36Z,2020-05-12T12:24:00Z,2020-05-15T17:30:00Z,2020-05-19T12:50:00Z,2020-05-18T12:50:00Z,1,visit_min1day,24.8397480044514,55.3430879674852,float,,80_2019,,,final_nest_check
101_2018,2018,2018-04-20T05:30:24Z,2018-04-24T18:28:00Z,2018-04-24T18:28:00Z,2018-05-06T13:05:00Z,2018-04-30T15:46:30Z,0,half_rule,24.8350997632417,55.394348339964,float,,,,,no
101_2019,2019,2019-04-17T17:02:00Z,2019-04-21T17:02:00Z,2019-05-20T20:00:00Z,2019-05-21T13:20:00Z,2019-05-19T20:00:00Z,1,logger_min1day,24.8365300241858,55.3778850194067,laying,59_2019,70_2019,,,final_nest_check
