"COMMON.NAME" "SCIENTIFIC.NAME" "OBSERVATION.COUNT" "LATITUDE" "LONGITUDE" "DATE" "MONTH" "DAY" "MIGRANT"
"Gray Heron" "Ardea cinerea" "1" 25.086263 55.163731 "1999-11-01" "11" 305 "no"
"Gray Heron" "Ardea cinerea" "1" 25.086263 55.163731 "1994-09-08" "09" 251 "no"
"Common Myna" "Acridotheres tristis" "X" 25.086263 55.163731 "1998-11-01" "11" 305 "no"
"Indian Roller" "Coracias benghalensis" "1" 25.086263 55.163731 "1999-04-05" "04" 95 "no"
"Indian Roller" "Coracias benghalensis" "1" 25.086263 55.163731 "1999-09-30" "09" 273 "no"
"Great Gray Shrike" "Lanius excubitor" "1" 25.086263 55.163731 "1998-09-15" "09" 258 "no"
"Common Myna" "Acridotheres tristis" "X" 25.086263 55.163731 "1998-12-06" "12" 340 "no"
"Great Gray Shrike" "Lanius excubitor" "2" 25.185622 55.2467036 "1998-11-22" "11" 326 "no"
"Western Reef-Heron" "Egretta gularis" "X" 25.1921346 55.3193807 "1999-03-01" "03" 60 "no"
"Eurasian Marsh-Harrier" "Circus aeruginosus" "1" 25.1921346 55.3193807 "1996-01-18" "01" 18 "yes"
"Greater Spotted Eagle" "Clanga clanga" "1" 25.1921346 55.3193807 "1998-12-06" "12" 340 "yes"
"Gray Heron" "Ardea cinerea" "X" 25.2052 55.2965 "1990-03-02" "03" 61 "no"
"Bank Myna" "Acridotheres ginginianus" "1" 25.205159 55.29646 "1989-10-10" "10" 283 "no"
"Steppe Eagle" "Aquila nipalensis" "1" 25.205159 55.29646 "1986-10-10" "10" 283 "yes"
"Little Egret" "Egretta garzetta" "1" 25.086263 55.163731 "1999-10-28" "10" 301 "no"
"Gray Heron" "Ardea cinerea" "1" 25.086263 55.163731 "1999-12-05" "12" 339 "no"
"Little Egret" "Egretta garzetta" "1" 25.086263 55.163731 "1999-01-06" "01" 6 "no"
"Common Myna" "Acridotheres tristis" "X" 25.086263 55.163731 "1999-04-04" "04" 94 "no"
"Gray Heron" "Ardea cinerea" "4" 25.086263 55.163731 "1998-10-14" "10" 287 "no"
"Little Egret" "Egretta garzetta" "1" 25.086263 55.163731 "1996-10-30" "10" 304 "no"
"Great Egret" "Ardea alba" "X" 25.1921346 55.3193807 "1991-01-04" "01" 4 "no"
"Great Egret" "Ardea alba" "1" 25.205159 55.29646 "1999-06-16" "06" 167 "no"
"Montagu's Harrier" "Circus pygargus" "1" 25.169707 55.432797 "1999-10-26" "10" 299 "yes"
